timestamp,test_name,target,metric,value,status,details
2026-02-13T22:53:03.046183,Ping Test,192.168.1.254,packet_loss,0,success,Host 192.168.1.254 is reachable. Latency min/avg/max: 2.7/2.7/2.9 ms
2026-02-13T22:53:03.046183,Ping Test,192.168.1.254,min_latency,2.657,success,Host 192.168.1.254 is reachable. Latency min/avg/max: 2.7/2.7/2.9 ms
2026-02-13T22:53:03.046183,Ping Test,192.168.1.254,avg_latency,2.715,success,Host 192.168.1.254 is reachable. Latency min/avg/max: 2.7/2.7/2.9 ms
2026-02-13T22:53:03.046183,Ping Test,192.168.1.254,max_latency,2.851,success,Host 192.168.1.254 is reachable. Latency min/avg/max: 2.7/2.7/2.9 ms
2026-02-13T22:53:03.046183,Ping Test,192.168.1.254,mdev_latency,0.08,success,Host 192.168.1.254 is reachable. Latency min/avg/max: 2.7/2.7/2.9 ms
2026-02-13T22:53:03.046183,Ping Test,192.168.1.254,packets_received,4,success,Host 192.168.1.254 is reachable. Latency min/avg/max: 2.7/2.7/2.9 ms
2026-02-13T22:53:06.069154,Traceroute Test,192.168.1.254,hop_count,1,success,Traced route to 192.168.1.254 in 1 hops
2026-02-13T22:53:06.069154,Traceroute Test,192.168.1.254,destination_reached,True,success,Traced route to 192.168.1.254 in 1 hops
2026-02-13T22:53:06.094595,DNS Lookup,192.168.1.254,ip_count,0,warning,Could not resolve 192.168.1.254
