2026-02-12 22:36:04 | DEBUG    | netscope.storage.csv_handler:write_result:81 | Wrote result to CSV: max_latency=83.876
2026-02-12 22:36:04 | DEBUG    | netscope.storage.csv_handler:write_result:81 | Wrote result to CSV: mdev_latency=4.556
2026-02-12 22:36:04 | DEBUG    | netscope.storage.csv_handler:write_result:81 | Wrote result to CSV: packets_received=4
2026-02-12 22:36:04 | INFO     | netscope.core.executor:run_command:55 | Executing command: traceroute -n -m 15 google.com
2026-02-12 22:36:35 | INFO     | netscope.core.executor:run_command:76 | Command completed: traceroute -n -m 15 google.com (return code: 0, duration: 31.55s)
2026-02-12 22:36:35 | DEBUG    | netscope.storage.csv_handler:write_result:81 | Wrote result to CSV: hop_count=10
2026-02-12 22:36:35 | DEBUG    | netscope.storage.csv_handler:write_result:81 | Wrote result to CSV: destination_reached=True
2026-02-12 22:36:35 | INFO     | netscope.core.executor:run_command:55 | Executing command: dig +short google.com
2026-02-12 22:36:35 | INFO     | netscope.core.executor:run_command:76 | Command completed: dig +short google.com (return code: 0, duration: 0.09s)
2026-02-12 22:36:35 | DEBUG    | netscope.storage.csv_handler:write_result:81 | Wrote result to CSV: ip_address_1=142.251.47.14
2026-02-12 22:36:35 | DEBUG    | netscope.storage.csv_handler:write_result:81 | Wrote result to CSV: ip_count=1
2026-02-12 22:36:49 | INFO     | netscope.cli.main:_run_interactive:253 | NetScope exited normally
2026-02-12 23:13:00 | INFO     | netscope.storage.logger:setup_logging:52 | Logging initialized
2026-02-12 23:13:00 | DEBUG    | netscope.storage.logger:setup_logging:53 | Log files: /Users/HP/Documents/zubabroadband/netdiag-cli/output/netscope.log, /Users/HP/Documents/zubabroadband/netdiag-cli/output/netscope_errors.log
2026-02-12 23:13:17 | INFO     | netscope.cli.main:_run_interactive:140 | NetScope exited normally
2026-02-12 23:26:17 | INFO     | netscope.storage.logger:setup_logging:52 | Logging initialized
2026-02-12 23:26:17 | DEBUG    | netscope.storage.logger:setup_logging:53 | Log files: /Users/HP/Documents/zubabroadband/netdiag-cli/output/netscope.log, /Users/HP/Documents/zubabroadband/netdiag-cli/output/netscope_errors.log
2026-02-12 23:26:34 | INFO     | netscope.cli.main:_run_interactive:162 | Created test run directory: /Users/HP/Documents/zubabroadband/netdiag-cli/output/2026-02-12_232634_port_scan
2026-02-12 23:26:34 | DEBUG    | netscope.storage.csv_handler:_create_csv:43 | Created CSV file: /Users/HP/Documents/zubabroadband/netdiag-cli/output/2026-02-12_232634_port_scan/results.csv
2026-02-12 23:27:11 | DEBUG    | netscope.storage.csv_handler:write_result:81 | Wrote result to CSV: open_ports=53,80,443,8080
2026-02-12 23:27:11 | DEBUG    | netscope.storage.csv_handler:write_result:81 | Wrote result to CSV: closed_count=16
2026-02-12 23:27:11 | DEBUG    | netscope.storage.csv_handler:write_result:81 | Wrote result to CSV: total_ports=20
2026-02-12 23:27:11 | DEBUG    | netscope.storage.csv_handler:write_result:81 | Wrote result to CSV: open_count=4
2026-02-12 23:27:29 | INFO     | netscope.cli.main:_run_interactive:294 | NetScope exited normally
2026-02-13 09:04:32 | INFO     | netscope.storage.logger:setup_logging:52 | Logging initialized
2026-02-13 09:04:32 | DEBUG    | netscope.storage.logger:setup_logging:53 | Log files: /Users/HP/Documents/zubabroadband/netdiag-cli/output/netscope.log, /Users/HP/Documents/zubabroadband/netdiag-cli/output/netscope_errors.log
2026-02-13 09:04:43 | INFO     | netscope.cli.main:_run_interactive:162 | Created test run directory: /Users/HP/Documents/zubabroadband/netdiag-cli/output/2026-02-13_090443_quick_network_check
2026-02-13 09:04:43 | DEBUG    | netscope.storage.csv_handler:_create_csv:43 | Created CSV file: /Users/HP/Documents/zubabroadband/netdiag-cli/output/2026-02-13_090443_quick_network_check/results.csv
2026-02-13 09:04:43 | INFO     | netscope.core.executor:run_command:54 | Executing command: ping -c 4 google.com
2026-02-13 09:04:46 | INFO     | netscope.core.executor:run_command:75 | Command completed: ping -c 4 google.com (return code: 0, duration: 3.36s)
2026-02-13 09:04:46 | DEBUG    | netscope.storage.csv_handler:write_result:81 | Wrote result to CSV: packet_loss=0
2026-02-13 09:04:46 | DEBUG    | netscope.storage.csv_handler:write_result:81 | Wrote result to CSV: min_latency=25.921
2026-02-13 09:04:46 | DEBUG    | netscope.storage.csv_handler:write_result:81 | Wrote result to CSV: avg_latency=74.352
2026-02-13 09:04:46 | DEBUG    | netscope.storage.csv_handler:write_result:81 | Wrote result to CSV: max_latency=140.434
2026-02-13 09:04:46 | DEBUG    | netscope.storage.csv_handler:write_result:81 | Wrote result to CSV: mdev_latency=49.992
