timestamp,test_name,target,metric,value,status,details
2026-02-13T11:50:33.810337,Ping Test,8.8.8.8,packet_loss,0,success,Host 8.8.8.8 is reachable. Latency min/avg/max: 26.4/30.8/33.4 ms
2026-02-13T11:50:33.810337,Ping Test,8.8.8.8,min_latency,26.36,success,Host 8.8.8.8 is reachable. Latency min/avg/max: 26.4/30.8/33.4 ms
2026-02-13T11:50:33.810337,Ping Test,8.8.8.8,avg_latency,30.818,success,Host 8.8.8.8 is reachable. Latency min/avg/max: 26.4/30.8/33.4 ms
2026-02-13T11:50:33.810337,Ping Test,8.8.8.8,max_latency,33.372,success,Host 8.8.8.8 is reachable. Latency min/avg/max: 26.4/30.8/33.4 ms
2026-02-13T11:50:33.810337,Ping Test,8.8.8.8,mdev_latency,2.713,success,Host 8.8.8.8 is reachable. Latency min/avg/max: 26.4/30.8/33.4 ms
2026-02-13T11:50:33.810337,Ping Test,8.8.8.8,packets_received,4,success,Host 8.8.8.8 is reachable. Latency min/avg/max: 26.4/30.8/33.4 ms
2026-02-13T11:50:36.859357,Traceroute Test,8.8.8.8,hop_count,7,success,Traced route to 8.8.8.8 in 7 hops
2026-02-13T11:50:36.859357,Traceroute Test,8.8.8.8,destination_reached,True,success,Traced route to 8.8.8.8 in 7 hops
2026-02-13T11:50:52.202968,DNS Lookup,8.8.8.8,ip_count,0,warning,Could not resolve 8.8.8.8
